"Year (time)","Geographic Area Name (NAME)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Meaning of Type of Government (GOVTYPE_LABEL)","Meaning of Category (CATEGORY_LABEL)","Item Code (ITEM_CODE)","Meaning of Item Code (ITEM_CODE_LABEL)","Amount ($1,000) (AMOUNT)"
"2015","West Virginia","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","75"
"2016","West Virginia","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","72"
"2017","West Virginia","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","28"
"2018","West Virginia","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","129"
"2019","West Virginia","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","60"
"2020","West Virginia","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","29"
"2021","West Virginia","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","17"
"2012","Wisconsin","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","559"
"2013","Wisconsin","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","471"
"2014","Wisconsin","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","318"
"2015","Wisconsin","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","311"
"2016","Wisconsin","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","325"
"2017","Wisconsin","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","662"
"2018","Wisconsin","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","355"
"2019","Wisconsin","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","363"
"2020","Wisconsin","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","147"
"2021","Wisconsin","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","161"
"2012","Wyoming","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","6"
"2013","Wyoming","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","60"
"2014","Wyoming","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","44"
"2015","Wyoming","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","6"
"2016","Wyoming","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","83"
"2017","Wyoming","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2018","Wyoming","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2019","Wyoming","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","61"
"2020","Wyoming","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","53"
"2021","Wyoming","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2012","United States","SF0346","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K62","Exhibit - Equipment Only - Police Protection","506,481"
"2013","United States","SF0346","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K62","Exhibit - Equipment Only - Police Protection","526,726"
"2014","United States","SF0346","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K62","Exhibit - Equipment Only - Police Protection","563,098"
"2015","United States","SF0346","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K62","Exhibit - Equipment Only - Police Protection","524,830"
"2016","United States","SF0346","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K62","Exhibit - Equipment Only - Police Protection","491,790"
"2017","United States","SF0346","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K62","Exhibit - Equipment Only - Police Protection","511,194"
"2018","United States","SF0346","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K62","Exhibit - Equipment Only - Police Protection","558,952"
"2019","United States","SF0346","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K62","Exhibit - Equipment Only - Police Protection","575,680"
"2020","United States","SF0346","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K62","Exhibit - Equipment Only - Police Protection","599,803"
"2021","United States","SF0346","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K62","Exhibit - Equipment Only - Police Protection","614,962"
"2012","Alabama","SF0346","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K62","Exhibit - Equipment Only - Police Protection","10,514"
"2013","Alabama","SF0346","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K62","Exhibit - Equipment Only - Police Protection","12,419"
"2014","Alabama","SF0346","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K62","Exhibit - Equipment Only - Police Protection","10,360"
"2015","Alabama","SF0346","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K62","Exhibit - Equipment Only - Police Protection","12,129"
"2016","Alabama","SF0346","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K62","Exhibit - Equipment Only - Police Protection","9,393"
"2017","Alabama","SF0346","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K62","Exhibit - Equipment Only - Police Protection","9,858"
"2018","Alabama","SF0346","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K62","Exhibit - Equipment Only - Police Protection","2,904"
"2019","Alabama","SF0346","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K62","Exhibit - Equipment Only - Police Protection","4,397"
