"","State","year","count"
"869","Louisiana",2010,39445
"870","Louisiana",2011,39710
"871","Louisiana",2012,40172
"872","Louisiana",2013,39299
"873","Louisiana",2014,38030
"874","Louisiana",2015,36377
"875","Louisiana",2016,35682
"876","Louisiana",2017,33739
"877","Louisiana",2018,32397
"878","Louisiana",2019,31609
"879","Louisiana",2020,26964
"880","Louisiana",2021,26074
"881","Massachusetts",1978,2806
"882","Massachusetts",1979,2924
"883","Massachusetts",1980,3185
"884","Massachusetts",1981,3889
"885","Massachusetts",1982,4334
"886","Massachusetts",1983,4482
"887","Massachusetts",1984,4883
"888","Massachusetts",1985,5390
"889","Massachusetts",1986,5636
"890","Massachusetts",1987,6268
"891","Massachusetts",1988,6757
"892","Massachusetts",1989,7524
"893","Massachusetts",1990,8345
"894","Massachusetts",1991,9415
"895","Massachusetts",1992,10053
"896","Massachusetts",1993,10229
"897","Massachusetts",1994,11293
"898","Massachusetts",1995,11687
"899","Massachusetts",1996,11796
"900","Massachusetts",1997,11947
"901","Massachusetts",1998,11799
"902","Massachusetts",1999,11356
"903","Massachusetts",2000,10722
"904","Massachusetts",2001,10588
"905","Massachusetts",2002,10329
"906","Massachusetts",2003,10232
"907","Massachusetts",2004,10144
"908","Massachusetts",2005,10701
"909","Massachusetts",2006,11032
"910","Massachusetts",2007,11436
"911","Massachusetts",2008,11408
"912","Massachusetts",2009,11316
"913","Massachusetts",2010,11313
"914","Massachusetts",2011,11623
"915","Massachusetts",2012,11308
"916","Massachusetts",2013,10950
"917","Massachusetts",2014,10713
"918","Massachusetts",2015,9922
"919","Massachusetts",2016,9403
"920","Massachusetts",2017,9133
"921","Massachusetts",2018,8692
"922","Massachusetts",2019,8205
"923","Massachusetts",2020,6762
"924","Massachusetts",2021,6148
"925","Maryland",1978,7966
"926","Maryland",1979,7860
"927","Maryland",1980,7731
"928","Maryland",1981,9335
"929","Maryland",1982,11617
"930","Maryland",1983,12617
"931","Maryland",1984,13124
"932","Maryland",1985,13005
"933","Maryland",1986,13326
"934","Maryland",1987,13467
"935","Maryland",1988,14276
"936","Maryland",1989,16514
"937","Maryland",1990,17848
"938","Maryland",1991,19291
"939","Maryland",1992,19977
"940","Maryland",1993,20264
"941","Maryland",1994,20998
"942","Maryland",1995,21453
"943","Maryland",1996,22050
"944","Maryland",1997,22232
"945","Maryland",1998,22572
"946","Maryland",1999,23095
"947","Maryland",2000,23538
"948","Maryland",2001,23752
"949","Maryland",2002,24162
"950","Maryland",2003,23791
"951","Maryland",2004,23285
"952","Maryland",2005,22737
"953","Maryland",2006,22945
"954","Maryland",2007,23433
"955","Maryland",2008,23324
"956","Maryland",2009,22255
"957","Maryland",2010,22645
"958","Maryland",2011,22558
"959","Maryland",2012,21522
"960","Maryland",2013,21335
"961","Maryland",2014,21011
