,State,year,tot_pop,incar_rate,tot_crime_rate,violent_crime_rate,prop_crime_rate,pov_rate,non_white_rate,spending_rate,incarceration_rate_national
112,Hawaii,1982.0,997000.0,-1.1443828066885686,1.7520865981970553,-0.8551998524884045,2.088583629087696,0.08893348176563891,4.198424772306968,-0.7582979130267322,-0.9460385115781289
113,Idaho,1982.0,967000.0,-1.3673000281183347,-0.040885351982705924,-0.8381060300760169,0.09831512263162728,0.7309978031022102,-1.1475421969454305,-1.3740958038199924,-0.9460385115781289
114,Illinois,1982.0,11280000.0,-1.2589629888277387,1.2932036314011806,1.6174782270439263,1.156193690067748,0.14243884187701986,0.053760268485626476,-0.4267144333688229,-0.9460385115781289
115,Indiana,1982.0,5415000.0,-1.0531558051834204,0.24756427372884646,-0.6283256945481034,0.3820824563327988,-0.07158259856850392,-0.6258369373561692,-1.5825197053192497,-0.9460385115781289
116,Iowa,1982.0,2770000.0,-1.4010050440000572,0.14876959582081534,-1.1989788752122508,0.37037515143459127,0.14243884187701986,-1.0417755152900043,-1.411991058638039,-0.9460385115781289
117,Kansas,1982.0,2365000.0,-1.239102211248413,0.6556868892786564,-0.44988051347552066,0.8038660712703082,-0.6601415597936943,-0.7079941834169479,-1.355148176410969,-0.9460385115781289
118,Kentucky,1982.0,3618000.0,-1.3473503976718348,-0.3707260257419485,-0.5558426642013735,-0.3156555519377632,0.8915138834363531,-0.7351599874328244,-1.506729195683156,-0.9460385115781289
119,Louisiana,1982.0,4299000.0,-0.5220037231873209,0.9055719276597421,1.1192396875116288,0.8119277406904845,2.6304380870562336,1.2314338400773843,-0.8246146089583141,-0.9460385115781289
120,Maine,1982.0,1133000.0,-1.4250435443863605,-0.19572763532576753,-1.2834531422429056,0.0030097130210415615,0.22269688204409127,-1.1878650712810364,-1.5730458916147378,-0.9460385115781289
121,Maryland,1982.0,4190000.0,-0.38903875990658593,1.4319853936355862,1.9872928799046472,1.2466421144568467,-0.15184063873557532,0.4997024541265031,-0.6067168937545451,-0.9460385115781289
